순번,자료시점,지역,시설구분,개소,면적(제곱미터),수용능력
1,2024-09-01,서울특별시,이재민 임시주거시설,1191,1202812.16,368125
2,2024-09-01,부산광역시,이재민 임시주거시설,508,401294,137800
3,2024-09-01,대구광역시,이재민 임시주거시설,297,389931.01,139176
4,2024-09-01,인천광역시,이재민 임시주거시설,573,512746,180195
5,2024-09-01,광주광역시,이재민 임시주거시설,184,199379.59,76776
6,2024-09-01,대전광역시,이재민 임시주거시설,202,171712.73,63093
7,2024-09-01,울산광역시,이재민 임시주거시설,289,168348.36,59511
8,2024-09-01,세종특별자치시,이재민 임시주거시설,159,81172,31152
9,2024-09-01,경기도,이재민 임시주거시설,3271,2369547.94,852703
10,2024-09-01,충청북도,이재민 임시주거시설,824,517704,183982
11,2024-09-01,충청남도,이재민 임시주거시설,1716,2119372.35,653652
12,2024-09-01,전라남도,이재민 임시주거시설,1788,1524399.53,548750
13,2024-09-01,경상북도,이재민 임시주거시설,1315,1197546.89,388419
14,2024-09-01,경상남도,이재민 임시주거시설,1398,786452.91,252633
15,2024-09-01,제주특별자치도,이재민 임시주거시설,194,100692.85,32287
16,2024-09-01,강원특별자치도,이재민 임시주거시설,742,516389.48,174924
17,2024-09-01,전북특별자치도,이재민 임시주거시설,590,479894.68,166786
18,2024-09-01,서울특별시,지진겸용 임시주거시설,808,924717.59,293121
19,2024-09-01,부산광역시,지진겸용 임시주거시설,312,319485.1,111723
20,2024-09-01,대구광역시,지진겸용 임시주거시설,242,363138.55,131326
21,2024-09-01,인천광역시,지진겸용 임시주거시설,309,327581.72,112459
22,2024-09-01,광주광역시,지진겸용 임시주거시설,172,173089.47,66787
23,2024-09-01,대전광역시,지진겸용 임시주거시설,102,118998.35,43469
24,2024-09-01,울산광역시,지진겸용 임시주거시설,251,155672.16,55972
25,2024-09-01,세종특별자치시,지진겸용 임시주거시설,101,74231,28505
26,2024-09-01,경기도,지진겸용 임시주거시설,1223,1286287.65,470765
27,2024-09-01,충청북도,지진겸용 임시주거시설,195,232852.64,80781
28,2024-09-01,충청남도,지진겸용 임시주거시설,331,1358956.25,379972
29,2024-09-01,전라남도,지진겸용 임시주거시설,289,622542.99,223306
30,2024-09-01,경상북도,지진겸용 임시주거시설,533,667442.44,226815
31,2024-09-01,경상남도,지진겸용 임시주거시설,483,431931.88,153881
32,2024-09-01,제주특별자치도,지진겸용 임시주거시설,70,61471.93,19555
33,2024-09-01,강원특별자치도,지진겸용 임시주거시설,239,268628.39,93356
34,2024-09-01,전북특별자치도,지진겸용 임시주거시설,295,290586.07,100996
35,2024-09-01,서울특별시,마을회관,1,165,63
36,2024-09-01,부산광역시,마을회관,61,11706,4380
37,2024-09-01,대구광역시,마을회관,27,4933.6,1768
38,2024-09-01,인천광역시,마을회관,41,7014,2638
39,2024-09-01,광주광역시,마을회관,1,115,44
40,2024-09-01,대전광역시,마을회관,1,663,200
41,2024-09-01,울산광역시,마을회관,0,0,0
42,2024-09-01,세종특별자치시,마을회관,26,2554,971
43,2024-09-01,경기도,마을회관,527,82875.12,31549
44,2024-09-01,충청북도,마을회관,79,9899.29,3046
45,2024-09-01,충청남도,마을회관,275,35298.77,13005
46,2024-09-01,전라남도,마을회관,492,75755.36,25461
47,2024-09-01,경상북도,마을회관,164,23411.47,8545
48,2024-09-01,경상남도,마을회관,429,47758.17,17845
49,2024-09-01,제주특별자치도,마을회관,37,12664.23,4087
50,2024-09-01,강원특별자치도,마을회관,98,16994.27,6424
51,2024-09-01,전북특별자치도,마을회관,9,1478.45,524
